TRANSPARENT SEETHRU
WIZARD WIZARD
LINK_OK LINK_OK
DARK DARK
JUMP_OK JUMP_OK
STICKY STICKY
DESTROY_OK DESTROY_OK
HAVEN HAVEN
QUIET QUIET
HALT HALT
DEBUG TRACE
GOING GOING
MONITOR MONITOR 
MYOPIC MYOPIC
PUPPET PUPPET
CHOWN_OK CHOWN_OK
ENTER_OK ENTER_OK
VISUAL VISUAL
NONE IMMORTAL
NONE HAS_STARTUP
OPAQUE OPAQUE
VERBOSE VERBOSE
NONE INHERIT
NOSPOOF NOSPOOF
NONE ROBOT
SAFE SAFE
ROYALTY ROYALTY
AUDIBLE HEARTHRU
TERSE TERSE
NONE KEY
ABODE ABODE
FLOATING FLOATING
UNFINDABLE UNFINDABLE
NONE PARENT_OK
LIGHT LIGHT
HAS_LISTEN HAS_LISTEN
HAS_FWDLIST HAS_FWDLIST
NONE AUDITORIUM
ANSI ANSI
COLOR ANSI
NONE HEAD_FLAG
FIXED FIXED
UNINSPECTED UNINSPECTED
NO_COMMAND NO_COMMAND
KEEPALIVE KEEPALIVE
NONE NOBLEED
NONE STAFF
NONE HAS_DAILY
GAGGED GAGGED
NONE OPEN_OK
ON-VACATION VACATION
NONE PLAYER_MAILS
NONE HTML
NONE BLIND
SUSPECT SUSPECT
NOACCENTS NOACCENTS
CONNECTED CONNECTED
NONE SLAVE
NONE SITEMON
NONE CMDCHECK
NONE MARKER0
NONE MARKER1
NONE MARKER2
NONE MARKER3
NONE MARKER4
NONE MARKER5
NONE MARKER6
NONE MARKER7
NONE MARKER8
NONE MARKER9
CLOUDY NONE
GOING_TWICE NONE
HEAVY NONE
LISTEN_PARENT NONE
LOUD NONE
NO_LEAVE NONE
NO_WARN NONE
ORPHAN NONE
PARANOID NONE
PROTECTED NONE
SHARED NONE
TRACK_MONEY NONE
Z_TEL NONE
MISTRUST NONE
